@800 context (u1)
@1535700834460 s5 (117)
@1535700834460 s4 (174)
@1535700834460 s2 (ds1,170)
@1535700834461 s3 (ds1,174)
@1535700834461 s1 (ds1,148,148)
@1535700834669 s4 (146)
@1535700834674 s3 (ds1,78)
@1535700834735 s1 (ds1,196,196)
@1535700834738 s2 (ds1,189)
@1535700834754 s5 (107)
@1535700834883 s3 (ds1,107)
@1535700834895 s4 (88)
@1535700834962 s2 (ds1,117)
@1535700835018 s5 (143)
@1535700835031 s1 (ds1,158,158)
@1535700835161 s3 (ds1,193)
@1535700835181 s4 (114)
@1535700835206 s2 (ds1,140)
@1535700835253 s5 (196)
@1535700835296 s1 (ds1,191,191)
@1535700835389 s4 (85)
@1535700835425 s3 (ds1,132)
@1535700835461 s2 (ds1,197)
@1535700835479 s5 (63)
@1535700835532 s1 (ds1,147,147)
@1535700835661 s4 (184)
@1535700835695 s3 (ds1,126)
@1535700835712 s5 (150)
@1535700835718 s2 (ds1,95)
@1535700835742 s1 (ds1,62,62)
@1535700835961 s4 (87)
@1535700835961 s1 (ds1,175,175)
@1535700835975 s3 (ds1,117)
@1535700836005 s2 (ds1,188)
@1535700836008 s5 (173)
@1535700836161 s1 (ds1,162,162)
@1535700836225 s3 (ds1,193)
@1535700836236 s4 (183)
@1535700836246 s5 (120)
@1535700836261 s2 (ds1,117)
@1535700836456 s1 (ds1,53,53)
@1535700836468 s3 (ds1,152)
@1535700836498 s4 (102)
@1535700836517 s5 (68)
@1535700836544 s2 (ds1,56)
@1535700836723 s1 (ds1,105,105)
@1535700836737 s3 (ds1,101)
@1535700836755 s2 (ds1,156)
@1535700836776 s5 (87)
@1535700836781 s4 (165)
@1535700836952 s3 (ds1,53)
@1535700836965 s1 (ds1,157,157)
@1535700836996 s4 (118)
@1535700837019 s2 (ds1,185)
@1535700837048 s5 (81)
@1535700837175 s1 (ds1,180,180)
@1535700837214 s3 (ds1,71)
@1535700837257 s5 (54)
@1535700837262 s4 (72)
@1535700837267 s2 (ds1,141)
@1535700837428 s3 (ds1,138)
@1535700837446 s1 (ds1,146,146)
@1535700837474 s5 (88)
@1535700837504 s4 (91)
@1535700837532 s2 (ds1,116)
@1535700837676 s3 (ds1,94)
@1535700837685 s1 (ds1,87,87)
@1535700837689 s5 (93)
@1535700837766 s4 (178)
@1535700837774 s2 (ds1,128)
@1535700837892 s5 (191)
@1535700837905 s3 (ds1,146)
@1535700837946 s1 (ds1,181,181)
@1535700838065 s4 (81)
@1535700838075 s2 (ds1,117)
@1535700838150 s5 (154)
@1535700838174 s1 (ds1,149,149)
@1535700838187 s3 (ds1,146)
@1535700838337 s4 (138)
@1535700838367 s2 (ds1,58)
@1535700838407 s5 (81)
@1535700838455 s1 (ds1,133,133)
@1535700838480 s3 (ds1,130)
@1535700838548 s4 (109)
@1535700838590 s2 (ds1,108)
@1535700838621 s5 (189)
@1535700838669 s1 (ds1,72,72)
@1535700838713 s3 (ds1,192)
@1535700838772 s4 (68)
@1535700838860 s5 (55)
@1535700838888 s2 (ds1,52)
@1535700838949 s3 (ds1,67)
@1535700838960 s1 (ds1,182,182)
@1535700839032 s4 (52)
@1535700839143 s5 (131)
@1535700839152 s3 (ds1,113)
@1535700839177 s2 (ds1,171)
@1535700839223 s1 (ds1,164,164)
@1535700839300 s4 (195)
@1535700839360 s5 (172)
@1535700839386 s3 (ds1,158)
@1535700839434 s1 (ds1,-1,182)
@1535700839454 s2 (ds1,110)
@1535700839591 s4 (110)
@1535700839638 s5 (151)
@1535700839659 s1 (ds1,152,152)
@1535700839673 s3 (ds1,130)
@1535700839751 s2 (ds1,88)
@1535700839808 s4 (114)
@1535700839895 s5 (131)
@1535700839943 s1 (ds1,107,107)
@1535700839955 s2 (ds1,66)
@1535700839967 s3 (ds1,63)
@1535700840010 s4 (112)
@1535700840114 s5 (172)
@1535700840203 s2 (ds1,56)
@1535700840221 s1 (ds1,66,66)
@1535700840234 s3 (ds1,67)
@1535700840250 s4 (135)
@1535700840397 s5 (108)
@1535700840482 s2 (ds1,63)
@1535700840509 s1 (ds1,132,132)
@1535700840522 s4 (104)
@1535700840526 s3 (ds1,186)
@1535700840637 s5 (193)
@1535700840730 s4 (159)
@1535700840735 s2 (ds1,85)
@1535700840777 s1 (ds1,138,138)
@1535700840780 s3 (ds1,92)
@1535700840912 s5 (145)
@1535700841019 s1 (ds1,149,149)
@1535700841027 s4 (154)
@1535700841030 s3 (ds1,97)
@1535700841034 s2 (ds1,94)
@1535700841143 s5 (120)
@1535700841231 s3 (ds1,56)
@1535700841237 s2 (ds1,106)
@1535700841250 s1 (ds1,134,134)
@1535700841267 s4 (98)
@1535700841373 s5 (157)
@1535700841431 s3 (ds1,55)
@1535700841445 s2 (ds1,183)
@1535700841550 s1 (ds1,188,188)
@1535700841567 s4 (74)
@1535700841606 s5 (184)
@1535700841664 s3 (ds1,74)
@1535700841664 s2 (ds1,128)
@1535700841806 s1 (ds1,91,91)
@1535700841838 s4 (80)
@1535700841876 s5 (164)
@1535700841917 s3 (ds1,100)
@1535700841953 s2 (ds1,123)
@1535700842043 s1 (ds1,185,185)
@1535700842102 s4 (164)
@1535700842161 s5 (179)
@1535700842165 s2 (ds1,167)
@1535700842183 s3 (ds1,141)
@1535700842291 s1 (ds1,-1,184)
@1535700842325 s4 (132)
@1535700842388 s2 (ds1,115)
@1535700842408 s5 (134)
@1535700842476 s3 (ds1,174)
@1535700842585 s4 (138)
@1535700842587 s1 (ds1,152,152)
@1535700842594 s2 (ds1,152)
@1535700842622 s5 (108)
@1535700842711 s3 (ds1,81)
@1535700842805 s1 (ds1,99,99)
@1535700842840 s5 (53)
@1535700842876 s4 (131)
@1535700842881 s2 (ds1,104)
@1535700842928 s3 (ds1,52)
@1535700843066 s1 (ds1,86,86)
@1535700843119 s4 (152)
@1535700843124 s5 (181)
@1535700843180 s3 (ds1,136)
@1535700843180 s2 (ds1,131)
@1535700843310 s1 (ds1,-1,181)
@1535700843325 s4 (73)
@1535700843348 s5 (153)
@1535700843400 s2 (ds1,129)
@1535700843452 s3 (ds1,167)
@1535700843542 s4 (96)
@1535700843573 s1 (ds1,92,92)
@1535700843579 s5 (130)
@1535700843678 s2 (ds1,187)
@1535700843695 s3 (ds1,198)
@1535700843817 s1 (ds1,73,73)
@1535700843819 s5 (87)
@1535700843841 s4 (85)
@1535700843950 s3 (ds1,190)
@1535700843975 s2 (ds1,172)
@1535700844027 s1 (ds1,72,72)
@1535700844038 s5 (148)
@1535700844123 s4 (95)
@1535700844233 s3 (ds1,186)
@1535700844254 s1 (ds1,63,63)
@1535700844261 s5 (60)
@1535700844262 s2 (ds1,143)
@1535700844345 s4 (146)
@1535700844476 s3 (ds1,57)
@1535700844480 s1 (ds1,181,181)
